"","x"
"1",0.05
"2",0.05
"3",0.05
"4",0.1
"5",0.1
"6",0.1
"7",0.1
"8",0.15
"9",0.2
"10",0.25
"11",0.3
"12",0.35
"13",0.35
"14",0.35
"15",0.35
"16",0.35
"17",0.35
"18",0.4
"19",0.4
"20",0.4
"21",0.45
"22",0.5
"23",0.55
"24",0.55
"25",0.55
"26",0.600000000000001
"27",0.650000000000001
"28",0.650000000000001
"29",0.650000000000001
"30",0.650000000000001
"31",0.700000000000001
"32",0.750000000000001
"33",0.750000000000001
"34",0.800000000000001
"35",0.850000000000001
"36",0.900000000000001
"37",0.900000000000001
"38",0.950000000000001
"39",1
"40",1.05
"41",1.1
"42",1.15
"43",1.15
"44",1.15
"45",1.15
"46",1.2
"47",1.25
"48",1.25
"49",1.3
"50",1.3
"51",1.3
"52",1.3
"53",1.3
"54",1.3
"55",1.3
"56",1.3
"57",1.3
"58",1.3
"59",1.3
"60",1.3
"61",1.3
"62",1.3
"63",1.3
"64",1.3
"65",1.3
"66",1.3
"67",1.3
"68",1.3
"69",1.3
"70",1.3
"71",1.3
"72",1.3
"73",1.3
"74",1.3
"75",1.35
"76",1.4
"77",1.4
"78",1.4
"79",1.45
"80",1.45
"81",1.45
"82",1.45
"83",1.45
"84",1.45
"85",1.45
"86",1.45
"87",1.45
"88",1.45
"89",1.45
"90",1.5
"91",1.55
"92",1.55
"93",1.55
"94",1.55
"95",1.6
"96",1.65
"97",1.65
"98",1.65
"99",1.7
"100",1.75
"101",1.75
"102",1.8
"103",1.85
"104",1.9
"105",1.95
"106",2
"107",2.05
"108",2.1
"109",2.1
"110",2.1
"111",2.15
"112",2.15
"113",2.15
"114",2.15
"115",2.15
"116",2.15
"117",2.2
"118",2.25
"119",2.25
"120",2.25
"121",2.25
"122",2.25
"123",2.25
"124",2.25
"125",2.3
"126",2.3
"127",2.3
"128",2.3
"129",2.35
"130",2.4
"131",2.4
"132",2.4
"133",2.4
"134",2.45
"135",2.5
"136",2.5
"137",2.5
"138",2.5
"139",2.55
"140",2.55
"141",2.6
"142",2.65
"143",2.7
"144",2.75
"145",2.8
"146",2.85
"147",2.9
"148",2.95
"149",3
"150",3
"151",3
"152",3.05
"153",3.1
"154",3.15
"155",3.15
"156",3.15
"157",3.15
"158",3.15
"159",3.15
"160",3.15
"161",3.15
"162",3.15
"163",3.15
"164",3.15
"165",3.15
"166",3.2
"167",3.25
"168",3.3
"169",3.3
"170",3.35
"171",3.35
"172",3.35
"173",3.35
"174",3.35
"175",3.35
"176",3.4
"177",3.45
"178",3.5
"179",3.55
"180",3.6
"181",3.65
"182",3.65
"183",3.7
"184",3.75
"185",3.8
"186",3.85
"187",3.85
"188",3.85
"189",3.85
"190",3.85
"191",3.85
"192",3.85
"193",3.85
"194",3.85
"195",3.85
"196",3.85
"197",3.85
"198",3.85
"199",3.85
"200",3.85
"201",3.9
"202",3.9
"203",3.9
"204",3.9
"205",3.9
"206",3.9
"207",3.95
"208",4
"209",4.05
"210",4.1
"211",4.1
"212",4.15
"213",4.15
"214",4.15
"215",4.15
"216",4.2
"217",4.2
"218",4.2
"219",4.2
"220",4.25
"221",4.25
"222",4.25
"223",4.25
"224",4.25
"225",4.25
"226",4.25
"227",4.3
"228",4.35
"229",4.4
"230",4.45
"231",4.5
"232",4.55
"233",4.6
"234",4.65
"235",4.7
"236",4.75
"237",4.8
"238",4.85
"239",4.9
"240",4.95
"241",5
"242",5.05
"243",5.1
"244",5.15
"245",5.2
"246",5.25
"247",5.3
"248",5.3
"249",5.35
"250",5.4
"251",5.45
"252",5.45
"253",5.45
"254",5.45
"255",5.45
"256",5.45
"257",5.45
"258",5.45
"259",5.45
"260",5.45
"261",5.50000000000001
"262",5.50000000000001
"263",5.50000000000001
"264",5.50000000000001
"265",5.50000000000001
"266",5.50000000000001
"267",5.50000000000001
"268",5.50000000000001
"269",5.50000000000001
"270",5.50000000000001
"271",5.55000000000001
"272",5.6
"273",5.65
"274",5.7
"275",5.75000000000001
"276",5.80000000000001
"277",5.85
"278",5.90000000000001
"279",5.95000000000001
"280",6.00000000000001
"281",6.05000000000001
"282",6.1
"283",6.15000000000001
"284",6.20000000000001
"285",6.25000000000001
"286",6.25000000000001
"287",6.25000000000001
"288",6.25000000000001
"289",6.25000000000001
"290",6.25000000000001
"291",6.25000000000001
"292",6.25000000000001
"293",6.25000000000001
"294",6.30000000000001
"295",6.30000000000001
"296",6.30000000000001
"297",6.30000000000001
"298",6.30000000000001
"299",6.30000000000001
"300",6.30000000000001
"301",6.30000000000001
"302",6.30000000000001
"303",6.35000000000001
"304",6.40000000000001
"305",6.40000000000001
"306",6.40000000000001
"307",6.45000000000001
"308",6.45000000000001
"309",6.45000000000001
"310",6.45000000000001
"311",6.45000000000001
"312",6.45000000000001
"313",6.45000000000001
"314",6.45000000000001
"315",6.50000000000001
"316",6.55000000000001
"317",6.60000000000001
"318",6.65000000000001
"319",6.70000000000001
"320",6.75000000000001
"321",6.80000000000001
"322",6.85000000000001
"323",6.90000000000001
"324",6.90000000000001
"325",6.90000000000001
"326",6.90000000000001
"327",6.90000000000001
"328",6.90000000000001
"329",6.90000000000001
"330",6.90000000000001
"331",6.90000000000001
"332",6.90000000000001
"333",6.90000000000001
"334",6.90000000000001
"335",6.95000000000001
"336",7.00000000000001
"337",7.05000000000001
"338",7.10000000000001
"339",7.10000000000001
"340",7.10000000000001
"341",7.15000000000001
"342",7.20000000000001
"343",7.20000000000001
"344",7.20000000000001
"345",7.20000000000001
"346",7.20000000000001
"347",7.25000000000001
"348",7.25000000000001
"349",7.25000000000001
"350",7.25000000000001
"351",7.25000000000001
"352",7.25000000000001
"353",7.25000000000001
"354",7.25000000000001
"355",7.25000000000001
"356",7.25000000000001
"357",7.25000000000001
"358",7.25000000000001
"359",7.25000000000001
"360",7.25000000000001
"361",7.25000000000001
"362",7.25000000000001
"363",7.25000000000001
"364",7.25000000000001
"365",7.25000000000001
"366",7.25000000000001
"367",7.25000000000001
"368",7.25000000000001
"369",7.30000000000001
"370",7.30000000000001
"371",7.30000000000001
"372",7.30000000000001
"373",7.35000000000001
"374",7.40000000000001
"375",7.45000000000001
"376",7.50000000000001
"377",7.55000000000001
"378",7.55000000000001
"379",7.55000000000001
"380",7.60000000000001
"381",7.65000000000001
"382",7.70000000000001
"383",7.75000000000001
"384",7.80000000000001
"385",7.85000000000001
"386",7.90000000000001
"387",7.95000000000001
"388",8.00000000000001
"389",8.05000000000001
"390",8.05000000000001
"391",8.05000000000001
"392",8.05000000000001
"393",8.05000000000001
"394",8.05000000000001
"395",8.05000000000001
"396",8.05000000000001
"397",8.05000000000001
"398",8.05000000000001
"399",8.05000000000001
"400",8.10000000000001
"401",8.10000000000001
"402",8.10000000000001
"403",8.15000000000001
"404",8.15000000000001
"405",8.20000000000001
"406",8.25000000000001
"407",8.25000000000001
"408",8.25000000000001
"409",8.30000000000001
"410",8.35000000000001
"411",8.40000000000001
"412",8.45000000000001
"413",8.50000000000001
"414",8.55000000000001
"415",8.60000000000001
"416",8.65000000000001
"417",8.70000000000001
"418",8.75000000000001
"419",8.80000000000001
"420",8.80000000000001
"421",8.85000000000001
"422",8.90000000000001
"423",8.95000000000001
"424",9.00000000000001
"425",9.00000000000001
"426",9.00000000000001
"427",9.00000000000001
"428",9.00000000000001
"429",9.00000000000001
