"","x"
"1",0.05
"2",0.05
"3",0.05
"4",0.1
"5",0.15
"6",0.2
"7",0.2
"8",0.25
"9",0.25
"10",0.25
"11",0.25
"12",0.3
"13",0.3
"14",0.35
"15",0.35
"16",0.35
"17",0.35
"18",0.35
"19",0.35
"20",0.4
"21",0.45
"22",0.5
"23",0.5
"24",0.5
"25",0.5
"26",0.55
"27",0.55
"28",0.55
"29",0.600000000000001
"30",0.650000000000001
"31",0.700000000000001
"32",0.700000000000001
"33",0.700000000000001
"34",0.750000000000001
"35",0.750000000000001
"36",0.750000000000001
"37",0.750000000000001
"38",0.800000000000001
"39",0.800000000000001
"40",0.850000000000001
"41",0.900000000000001
"42",0.900000000000001
"43",0.900000000000001
"44",0.900000000000001
"45",0.900000000000001
"46",0.900000000000001
"47",0.900000000000001
"48",0.900000000000001
"49",0.950000000000001
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",1
"61",1
"62",1.05
"63",1.05
"64",1.05
"65",1.05
"66",1.05
"67",1.05
"68",1.05
"69",1.1
"70",1.15
"71",1.2
"72",1.2
"73",1.25
"74",1.25
"75",1.25
"76",1.3
"77",1.3
"78",1.3
"79",1.35
"80",1.4
"81",1.4
"82",1.4
"83",1.45
"84",1.5
"85",1.55
"86",1.6
"87",1.65
"88",1.7
"89",1.7
"90",1.75
"91",1.8
"92",1.8
"93",1.85
"94",1.85
"95",1.85
"96",1.9
"97",1.95
"98",2
"99",2.05
"100",2.05
"101",2.05
"102",2.05
"103",2.05
"104",2.05
"105",2.1
"106",2.1
"107",2.1
"108",2.1
"109",2.1
"110",2.1
"111",2.1
"112",2.15
"113",2.2
"114",2.25
"115",2.3
"116",2.35
"117",2.4
"118",2.45
"119",2.5
"120",2.55
"121",2.6
"122",2.65
"123",2.7
"124",2.75
"125",2.8
"126",2.85
"127",2.9
"128",2.9
"129",2.95
"130",3
"131",3
"132",3
"133",3.05
"134",3.05
"135",3.1
"136",3.1
"137",3.1
"138",3.1
"139",3.1
"140",3.1
"141",3.1
"142",3.15
"143",3.2
"144",3.25
"145",3.3
"146",3.35
"147",3.4
"148",3.45
"149",3.45
"150",3.45
"151",3.45
"152",3.5
"153",3.5
"154",3.5
"155",3.55
"156",3.6
"157",3.65
"158",3.7
"159",3.75
"160",3.75
"161",3.8
"162",3.85
"163",3.85
"164",3.85
"165",3.85
"166",3.85
"167",3.9
"168",3.9
"169",3.95
"170",3.95
"171",3.95
"172",4
"173",4
"174",4
"175",4
"176",4
"177",4
"178",4
"179",4.05
"180",4.05
"181",4.05
"182",4.1
"183",4.15
"184",4.2
"185",4.25
"186",4.25
"187",4.3
"188",4.35
"189",4.35
"190",4.35
"191",4.35
"192",4.35
"193",4.35
"194",4.35
"195",4.35
"196",4.35
"197",4.4
"198",4.45
"199",4.5
"200",4.55
"201",4.6
"202",4.65
"203",4.7
"204",4.75
"205",4.8
"206",4.85
"207",4.9
"208",4.95
"209",5
"210",5.05
"211",5.05
"212",5.1
"213",5.1
"214",5.15
"215",5.15
"216",5.15
"217",5.15
"218",5.15
"219",5.15
"220",5.15
"221",5.15
"222",5.15
"223",5.15
"224",5.15
"225",5.15
"226",5.15
"227",5.15
"228",5.15
"229",5.15
"230",5.15
"231",5.15
"232",5.2
"233",5.2
"234",5.25
"235",5.25
"236",5.25
"237",5.25
"238",5.25
"239",5.25
"240",5.25
"241",5.3
"242",5.3
"243",5.35
"244",5.4
"245",5.45
"246",5.50000000000001
"247",5.50000000000001
"248",5.55000000000001
"249",5.55000000000001
"250",5.55000000000001
"251",5.6
"252",5.6
"253",5.65
"254",5.65
"255",5.7
"256",5.75000000000001
"257",5.75000000000001
"258",5.80000000000001
"259",5.80000000000001
"260",5.85
"261",5.90000000000001
"262",5.95000000000001
"263",5.95000000000001
"264",5.95000000000001
"265",5.95000000000001
"266",5.95000000000001
"267",5.95000000000001
"268",5.95000000000001
"269",5.95000000000001
"270",5.95000000000001
"271",5.95000000000001
"272",5.95000000000001
"273",5.95000000000001
"274",5.95000000000001
"275",5.95000000000001
"276",5.95000000000001
"277",5.95000000000001
"278",5.95000000000001
"279",5.95000000000001
"280",5.95000000000001
"281",5.95000000000001
"282",5.95000000000001
"283",5.95000000000001
"284",5.95000000000001
"285",5.95000000000001
"286",5.95000000000001
"287",5.95000000000001
"288",5.95000000000001
"289",5.95000000000001
"290",5.95000000000001
"291",5.95000000000001
"292",5.95000000000001
"293",5.95000000000001
"294",5.95000000000001
"295",5.95000000000001
"296",5.95000000000001
"297",5.95000000000001
"298",5.95000000000001
"299",5.95000000000001
"300",5.95000000000001
"301",5.95000000000001
"302",5.95000000000001
"303",5.95000000000001
"304",5.95000000000001
"305",5.95000000000001
"306",5.95000000000001
"307",6.00000000000001
"308",6.05000000000001
"309",6.05000000000001
"310",6.1
"311",6.15000000000001
"312",6.20000000000001
"313",6.20000000000001
"314",6.20000000000001
"315",6.20000000000001
"316",6.25000000000001
"317",6.30000000000001
"318",6.30000000000001
"319",6.30000000000001
"320",6.35000000000001
"321",6.35000000000001
"322",6.35000000000001
"323",6.35000000000001
"324",6.40000000000001
"325",6.40000000000001
"326",6.40000000000001
"327",6.40000000000001
"328",6.40000000000001
"329",6.40000000000001
"330",6.40000000000001
"331",6.40000000000001
"332",6.40000000000001
"333",6.40000000000001
"334",6.40000000000001
"335",6.40000000000001
"336",6.40000000000001
"337",6.40000000000001
"338",6.40000000000001
"339",6.40000000000001
"340",6.40000000000001
"341",6.40000000000001
"342",6.40000000000001
"343",6.40000000000001
"344",6.40000000000001
"345",6.40000000000001
"346",6.40000000000001
"347",6.40000000000001
"348",6.40000000000001
"349",6.40000000000001
"350",6.40000000000001
"351",6.40000000000001
"352",6.40000000000001
"353",6.45000000000001
"354",6.50000000000001
"355",6.55000000000001
"356",6.60000000000001
"357",6.65000000000001
"358",6.70000000000001
"359",6.75000000000001
"360",6.75000000000001
"361",6.75000000000001
"362",6.80000000000001
"363",6.80000000000001
"364",6.80000000000001
"365",6.80000000000001
"366",6.80000000000001
"367",6.80000000000001
"368",6.80000000000001
"369",6.80000000000001
"370",6.80000000000001
"371",6.80000000000001
"372",6.85000000000001
"373",6.90000000000001
"374",6.95000000000001
"375",7.00000000000001
"376",7.00000000000001
"377",7.00000000000001
"378",7.00000000000001
"379",7.00000000000001
"380",7.00000000000001
"381",7.00000000000001
"382",7.00000000000001
"383",7.00000000000001
"384",7.00000000000001
"385",7.00000000000001
"386",7.00000000000001
"387",7.00000000000001
"388",7.00000000000001
"389",7.00000000000001
"390",7.00000000000001
"391",7.00000000000001
"392",7.00000000000001
"393",7.00000000000001
"394",7.05000000000001
"395",7.05000000000001
"396",7.05000000000001
"397",7.05000000000001
"398",7.05000000000001
"399",7.05000000000001
"400",7.05000000000001
"401",7.05000000000001
"402",7.05000000000001
"403",7.05000000000001
"404",7.05000000000001
"405",7.05000000000001
"406",7.05000000000001
"407",7.05000000000001
"408",7.05000000000001
"409",7.10000000000001
"410",7.10000000000001
"411",7.10000000000001
"412",7.15000000000001
"413",7.20000000000001
"414",7.25000000000001
"415",7.25000000000001
"416",7.25000000000001
"417",7.25000000000001
"418",7.25000000000001
"419",7.25000000000001
"420",7.25000000000001
"421",7.25000000000001
"422",7.25000000000001
"423",7.30000000000001
"424",7.35000000000001
