"","x"
"1",0.9
"2",0.9
"3",0.9
"4",0.9
"5",1.8
"6",1.8
"7",1.8
"8",1.8
"9",1.8
"10",1.8
"11",1.8
"12",1.8
"13",1.8
"14",1.8
"15",1.8
"16",2.7
"17",2.7
"18",2.7
"19",2.7
"20",2.7
"21",2.7
"22",2.7
"23",2.7
"24",2.7
"25",2.7
"26",2.7
"27",2.7
"28",2.7
"29",2.7
"30",2.7
"31",2.7
"32",2.7
"33",3.6
"34",3.6
"35",3.6
"36",3.6
"37",3.6
"38",3.6
"39",3.6
"40",3.6
"41",3.6
"42",3.6
"43",3.6
"44",3.6
"45",3.6
"46",3.6
"47",3.6
"48",3.6
"49",3.6
"50",3.6
"51",3.6
"52",3.6
"53",3.6
"54",3.6
"55",3.6
"56",4.5
"57",4.5
"58",4.5
"59",4.5
"60",4.5
"61",4.5
"62",4.5
"63",4.5
"64",4.5
"65",4.5
"66",4.5
"67",4.5
"68",4.5
"69",4.5
"70",4.5
"71",4.5
"72",4.5
"73",4.5
"74",4.5
"75",4.5
"76",4.5
"77",4.5
"78",4.5
"79",4.5
"80",4.5
"81",4.5
"82",4.5
"83",4.5
"84",4.5
"85",4.5
"86",4.5
"87",4.5
"88",4.5
"89",4.5
"90",4.5
"91",4.5
"92",4.5
"93",5.4
"94",5.4
"95",5.4
"96",5.4
"97",5.4
"98",5.4
"99",5.4
"100",5.4
"101",5.4
"102",5.4
"103",5.4
"104",5.4
"105",5.4
"106",5.4
"107",5.4
"108",5.4
"109",5.4
"110",5.4
"111",5.4
"112",5.4
"113",5.4
"114",5.4
"115",5.4
"116",5.4
"117",5.4
"118",5.4
"119",5.4
"120",5.4
"121",5.4
"122",5.4
"123",5.4
"124",5.4
"125",5.4
"126",5.4
"127",5.4
"128",5.4
"129",5.4
"130",5.4
"131",5.4
"132",5.4
"133",5.4
"134",6.3
"135",6.3
"136",6.3
"137",6.3
"138",6.3
"139",6.3
"140",6.3
"141",6.3
"142",6.3
"143",6.3
"144",6.3
"145",6.3
"146",6.3
"147",6.3
"148",6.3
"149",6.3
"150",6.3
"151",6.3
"152",6.3
"153",6.3
"154",6.3
"155",6.3
"156",6.3
"157",6.3
"158",6.3
"159",6.3
"160",6.3
"161",6.3
"162",6.3
"163",6.3
"164",6.3
"165",6.3
"166",6.3
"167",6.3
"168",6.3
"169",6.3
"170",6.3
"171",6.3
"172",6.3
"173",6.3
"174",6.3
"175",6.3
"176",6.3
"177",6.3
"178",6.3
"179",6.3
"180",6.3
"181",6.3
"182",6.3
"183",6.3
"184",6.3
"185",6.3
"186",6.3
"187",6.3
"188",6.3
"189",6.3
"190",7.2
"191",7.2
"192",7.2
"193",7.2
"194",7.2
"195",7.2
"196",7.2
"197",7.2
"198",7.2
"199",7.2
"200",7.2
"201",7.2
"202",7.2
"203",7.2
"204",7.2
"205",7.2
"206",7.2
"207",7.2
"208",7.2
"209",7.2
"210",7.2
"211",7.2
"212",7.2
"213",7.2
"214",7.2
"215",7.2
"216",7.2
"217",7.2
"218",7.2
"219",7.2
"220",7.2
"221",7.2
"222",7.2
"223",7.2
"224",7.2
"225",7.2
"226",7.2
"227",7.2
"228",7.2
"229",7.2
"230",7.2
"231",7.2
"232",7.2
"233",7.2
"234",7.2
"235",7.2
"236",7.2
"237",7.2
"238",7.2
"239",7.2
"240",7.2
"241",7.2
"242",7.2
"243",7.2
"244",7.2
"245",7.2
"246",7.2
"247",7.2
"248",7.2
"249",7.2
"250",7.2
"251",7.2
"252",7.2
"253",7.2
"254",7.2
"255",7.2
"256",7.2
"257",7.2
"258",7.2
"259",7.2
"260",7.2
"261",7.2
"262",7.2
"263",7.2
"264",7.2
"265",7.2
"266",7.2
"267",7.2
"268",7.2
"269",7.2
"270",7.2
"271",7.2
"272",7.2
"273",7.2
"274",7.2
"275",8.1
"276",8.1
"277",8.1
"278",8.1
"279",8.1
"280",8.1
"281",8.1
"282",8.1
"283",8.1
"284",8.1
"285",8.1
"286",8.1
"287",8.1
"288",8.1
"289",8.1
"290",8.1
"291",8.1
"292",8.1
"293",8.1
"294",8.1
"295",8.1
"296",8.1
"297",8.1
"298",8.1
"299",8.1
"300",8.1
"301",8.1
"302",8.1
"303",8.1
"304",8.1
"305",8.1
"306",8.1
"307",8.1
"308",8.1
"309",8.1
"310",8.1
"311",8.1
"312",8.1
"313",8.1
"314",8.1
"315",8.1
"316",8.1
"317",8.1
"318",8.1
"319",8.1
"320",8.1
"321",8.1
"322",8.1
"323",8.1
"324",8.1
"325",8.1
"326",8.1
"327",8.1
"328",8.1
"329",8.1
"330",8.1
"331",8.1
"332",8.1
"333",8.1
"334",8.1
"335",8.1
"336",8.1
"337",8.1
"338",8.1
"339",8.1
"340",8.1
"341",8.1
"342",8.1
"343",8.1
"344",8.1
"345",8.1
"346",8.1
"347",8.1
"348",8.1
"349",8.1
"350",8.1
"351",8.1
"352",8.1
"353",8.1
"354",8.1
"355",8.1
"356",8.1
"357",8.1
"358",8.1
"359",8.1
"360",8.1
"361",8.1
"362",8.1
"363",8.1
"364",8.1
"365",8.1
"366",8.1
"367",8.1
"368",8.1
"369",8.1
"370",8.1
"371",8.1
"372",8.1
"373",8.1
"374",8.1
"375",8.1
"376",8.1
"377",8.1
"378",8.1
"379",8.1
"380",8.1
"381",8.1
"382",8.1
"383",8.1
"384",8.1
"385",8.1
"386",8.1
"387",8.1
"388",8.1
"389",8.1
"390",8.1
"391",8.1
"392",8.1
"393",8.1
"394",8.1
"395",8.1
"396",9
"397",9
"398",9
"399",9
"400",9
"401",9
"402",9
"403",9
"404",9
"405",9
"406",9
"407",9
"408",9
"409",9
"410",9
"411",9
"412",9
"413",9
"414",9
"415",9
"416",9
"417",9
"418",9
"419",9
"420",9
"421",9
"422",9
"423",9
"424",9
"425",9
"426",9
"427",9
"428",9
"429",9
"430",9
"431",9
"432",9
"433",9
"434",9
"435",9
"436",9
"437",9
"438",9
"439",9
"440",9
"441",9
"442",9
"443",9
"444",9
"445",9
"446",9
"447",9
"448",9
"449",9
"450",9
"451",9
"452",9
"453",9
"454",9
"455",9
"456",9
"457",9
"458",9
"459",9
"460",9
"461",9
"462",9
"463",9
"464",9
"465",9
"466",9
"467",9
"468",9
"469",9
"470",9
"471",9
"472",9
"473",9
"474",9
"475",9
"476",9
"477",9
"478",9
"479",9
"480",9
"481",9
"482",9
"483",9
"484",9
"485",9
"486",9
"487",9
"488",9
"489",9
"490",9
"491",9
"492",9
"493",9
"494",9
"495",9
"496",9
"497",9
"498",9
"499",9
"500",9
"501",9
"502",9
"503",9
"504",9
"505",9
"506",9
"507",9
"508",9
"509",9
"510",9
"511",9
"512",9
"513",9
"514",9
"515",9
"516",9
"517",9
"518",9
"519",9
"520",9
"521",9
"522",9
"523",9
"524",9
"525",9
"526",9
"527",9
"528",9
"529",9
"530",9
"531",9
"532",9
"533",9
"534",9
"535",9
"536",9
"537",9
"538",9
"539",9
"540",9
"541",9
"542",9
"543",9
"544",9
"545",9
"546",9
"547",9
"548",9
"549",9
"550",9
"551",9
"552",9
"553",9
"554",9
"555",9
"556",9
"557",9
"558",9
"559",9
"560",9
"561",9
"562",9
"563",9
"564",9
"565",9
"566",9
"567",9
"568",9
"569",9
"570",9
"571",9
"572",9
"573",9
"574",9.9
"575",9.9
"576",9.9
"577",9.9
"578",9.9
"579",9.9
"580",9.9
"581",9.9
"582",9.9
"583",9.9
"584",9.9
"585",9.9
"586",9.9
"587",9.9
"588",9.9
"589",9.9
"590",9.9
"591",9.9
"592",9.9
"593",9.9
"594",9.9
"595",9.9
"596",9.9
"597",9.9
